,Unnamed: 0.1,Unnamed: 0,tissue,simuround,subset,marker,manual_annotation,manual_CLname,manual_CLID,manual_broadtype,gpt-4-turbo-2024-04-09_annotation,gpt-4-0613_annotation,gpt-4o-2024-08-06_annotation,gpt-4o-mini-2024-07-18_annotation
1846,1846,1846,Lung,4,0.75,"RELN,CCL21,PROX1,MMRN1",Lymphatic Endothelial,endothelial cell of lymphatic vessel,CL:0002138,endothelial cell,Lymphatic,"Lymphatic, Vascular Smooth Muscle, Lymphatic, Vein",Lymphatic,Lymphatic
1847,1847,1847,Lung,4,0.75,"PTPRC,MSR1,CSF1R,MS4A6A,CD36,SLC11A1,MERTK,CD163,CPM,CD68,CD163,MR1,MS4A6A,MS4A4A,RBPJ",Macrophage,macrophage,CL:0000235,macrophage/monocyte,"Myeloid Dendritic Type 2, Classical Monocyte, Proliferating Macrophage, Plasmacytoid Dendritic","CD8+ Memory/Effector T, Macrophage, Myeloid Dendritic Type 2, Proliferating Macrophage, Alveolar Epithelial Type 2","Myeloid Dendritic Type 2, Classical Monocyte",Myeloid Dendritic
1848,1848,1848,Lung,4,0.75,"TPSAB1,CD69,FCER1A,HDC",Mast Cell,mast cell,CL:0000097,granulocyte,Basophil/Mast 1,"Basophil/Mast 1, CD4+ Memory/Effector T, Basophil/Mast 1, Basophil/Mast 1","Basophil/Mast 1, Basophil/Mast 2","Basophil/Mast 1, Basophil/Mast 2"
1849,1849,1849,Lung,4,0.75,"CSPG4,ANPEP,PDGFRB,MYO1B,MCAM,ACTA2",Pericyte,pericyte,CL:0000669,pericyte,Pericyte,"Pericyte, Mucous, Pericyte, Alveolar Epithelial Type 1, Vein, Airway Smooth Muscle.",Pericyte,Pericyte
1850,1850,1850,Lung,4,0.75,"ACTA2,SMTN,ACTG2,DES,CNN1,MYH11,PALLD,VCL,TAGLN,GUCY1A3",Smooth Muscle,smooth muscle cell,CL:0000192,muscle cell,"Airway Smooth Muscle, Vascular Smooth Muscle, Fibromyocyte","Airway Smooth Muscle, Vascular Smooth Muscle, Fibromyocyte",Airway Smooth Muscle,Vascular Smooth Muscle
1851,1851,1851,Lung,4,0.75,"CD69,SKAP1,IL7R,TRAC,NKG7,CD3E,PTPRC,THEMIS,CD96",T cell,T cell,CL:0000084,t/nk cell,"CD4+ Memory/Effector T, CD8+ Memory/Effector T, CD8+ Naive T, Natural Killer T","CD8+ Memory/Effector T, CD8+ Naive T, CD4+ Memory/Effector T, Natural Killer T, Natural Killer, Proliferating NK/T",CD8+ Memory/Effector T,"CD8+ Memory/Effector T, CD8+ Naive T, CD4+ Memory/Effector T"
1852,1852,1852,Lung,4,0.75,"RAMP3,NOSTRIN,CD300LG,LDB2,EPHB4,BACE2,PTPRB",Vascular Endothelial,endothelial cell of vascular tree,CL:0002139,endothelial cell,"Capillary, Capillary Intermediate 2, Bronchial Vessel 2","Vein, Capillary, Bronchial Vessel 2, Artery, Signaling Alveolar Epithelial Type 2",Capillary,"Capillary, Capillary Intermediate 2"
1853,1853,1853,Lung,4,0.75,"NAPSA,MUC1,PGC,SLC34A2,SFTPD,SFTPA1,SFTPB",type ii pneumocyte,type II pneumocyte,CL:0002063,epithelial cell,"Alveolar Epithelial Type 2, Signaling Alveolar Epithelial Type 2","Alveolar Epithelial Type 2, Signaling Alveolar Epithelial Type 2",Alveolar Epithelial Type 2,"Alveolar Epithelial Type 2, Signaling Alveolar Epithelial Type 2"
1854,1854,1854,Lung,4,0.75,"PROK2,MMP25,CXCR2,CD177,MTND5P32,FCGR3B,IL1R2",neutrophil,neutrophil,CL:0000775,granulocyte,Natural Killer,"Natural Killer, Basal",Natural Killer,Basal
1855,1855,1855,Lung,4,0.75,"IL32,CD3E,CXCR4,CD3G,IL7R,CD3D,CD69","cd4-positive, alpha-beta t cell","CD4-positive, alpha-beta T cell",CL:0000624,t/nk cell,"CD8+ Memory/Effector T, CD8+ Naive T, CD4+ Memory/Effector T, CD4+ Naive T, Natural Killer T","Alveolar Epithelial Type 1, Capillary Aerocyte, Capillary Intermediate 1, Capillary Intermediate 2, Adventitial Fibroblast, CD8+ Memory/Effector T, CD8+ Naive T, CD4+ Memory/Effector T, CD4+ Naive T, Natural Killer T, Proliferating NK/T",CD4+ Memory/Effector T,"CD8+ Memory/Effector T, CD8+ Naive T, CD4+ Memory/Effector T"
1856,1856,1856,Lung,4,0.75,"CD3E,KLRD1,CCL5,CD2,GZMA,GNLY,CCL4","cd8-positive, alpha-beta t cell","CD8-positive, alpha-beta T cell",CL:0000625,t/nk cell,"CD8+ Memory/Effector T, Natural Killer, CD8+ Naive T","CD8+ Memory/Effector T, CD8+ Naive T, CD4+ Memory/Effector T, CD4+ Naive T, Natural Killer T",CD8+ Memory/Effector T,"CD8+ Naive T, Proliferating NK/T"
1857,1857,1857,Lung,4,0.75,"GZMA,KLRF1,GNLY,KLRB1,GZMB,CD247,CST7",nk cell,natural killer cell,CL:0000623,t/nk cell,"Natural Killer, CD8+ Naive T","CD8+ Memory/Effector T, CD8+ Naive T, Natural Killer T, Natural Killer, Proliferating NK/T",Natural Killer,"Plasmacytoid Dendritic, Bronchial Vessel 1"
1858,1858,1858,Lung,4,0.75,"PLVAP,ADAMTS4,NEURL1B,CCL14,ZNF385D,CYTL1,EXOC3L2",bronchial vessel endothelial cell,,,endothelial cell,"Bronchial Vessel 1, Fibromyocyte","Bronchial Vessel 1, Vein, Lymphatic, Adventitial Fibroblast, Lipofibroblast, Bronchial Vessel 1",Bronchial Vessel 1,Vascular Smooth Muscle
1859,1859,1859,Lung,4,0.75,"HSPB6,MYH11,FOXC2,ACTG2,DES,AC100803.2,ADRA2C",smooth muscle cell,smooth muscle cell,CL:0000192,muscle cell,Vascular Smooth Muscle,"Vascular Smooth Muscle, Airway Smooth Muscle, Fibromyocyte",Vascular Smooth Muscle,"Vascular Smooth Muscle, Airway Smooth Muscle"
1860,1860,1860,Lung,4,0.75,"MGP,C1S,MFAP5,FBLN1,IGFBP6,MFAP4,PLA2G2A",adventitial cell,adventitial cell,CL:0002503,adventitial cell,Adventitial Fibroblast,"Adventitial Fibroblast, Alveolar Fibroblast, Lipofibroblast","Adventitial Fibroblast, Alveolar Fibroblast, Basal",Adventitial Fibroblast
1861,1861,1861,Lung,4,0.75,"APOE,VSIG4,MS4A7,ACP5,APOC1,FABP4,C1QB",macrophage,macrophage,CL:0000235,macrophage/monocyte,Macrophage,"Macrophage, Proliferating Macrophage, TREM2+ Dendritic","Macrophage, Proliferating Macrophage, TREM2+ Dendritic",Macrophage
1862,1862,1862,Lung,4,0.75,"GATA2,HPGDS,TPSB2,CPA3,KIT,CD69,VWA5A",basophil,basophil,CL:0000767,granulocyte,Basophil/Mast,"Capillary, Capillary Intermediate 1, Basophil/Mast 1, Basophil/Mast 2","Basophil/Mast 1, Basophil/Mast 2",Basophil/Mast
1863,1863,1863,Lung,4,0.75,"S100A12,VCAN,CD300E,S100A8,COTL1,MNDA,S100A9",classical monocyte,classical monocyte,CL:0000860,macrophage/monocyte,Classical Monocyte,"Classical Monocyte, OLR1+ Classical Monocyte, Intermediate Monocyte","Classical Monocyte, OLR1+ Classical Monocyte, Intermediate Monocyte, Nonclassical Monocyte",Classical Monocyte
1864,1864,1864,Lung,4,0.75,"SSTR1,SOX17,GJA5,CXCL12,DKK2,SERPINE2,NPR3",endothelial cell of artery,endothelial cell of artery,CL:1000413,endothelial cell,Artery,"Artery, Bronchial Vessel 1, Bronchial Vessel 2",Artery,Artery
1865,1865,1865,Lung,4,0.75,"TPPP3,CAPS,C1orf194,C11orf88,TSPAN1,RSPH1,PIFO",lung ciliated cell,lung ciliated cell,CL:1000271,ciliated cell,Platelet/Megakaryocyte,"Ciliated, Proximal Ciliated, Platelet/Megakaryocyte","Ciliated, Proximal Ciliated",Ciliated
1866,1866,1866,Lung,4,0.75,"CLEC10A,S100B,FCER1A,CLEC5A,GPR183,CD1E,CST7",dendritic cell,dendritic cell,CL:0000451,dendritic cell,EREG+ Dendritic,"Myeloid Dendritic Type 1, Myeloid Dendritic Type 2, IGSF21+ Dendritic, EREG+ Dendritic, TREM2+ Dendritic","Myeloid Dendritic Type 1, Myeloid Dendritic Type 2, IGSF21+ Dendritic, EREG+ Dendritic",Ciliated
1867,1867,1867,Lung,4,0.75,"MSMB,LCN2,WFDC2,TSPAN1,SCGB3A1,SCGB1A1,CP",respiratory goblet cell,respiratory goblet cell,CL:0002370,epithelial cell,Mucous,"Goblet, Mucous, Differentiating Basal, Platelet/Megakaryocyte","Goblet, Mucous","Basal, Proliferating Basal, Lipofibroblast"
1868,1868,1868,Lung,4,0.75,"IGFBP2,TACSTD2,KRT19,KRT5,KRT15,ALDH3A1,MIR205HG",basal cell,basal cell,CL:0000646,stem cell,Basal,"Basal, Proximal Basal, Proliferating Basal, Differentiating Basal, Alveolar Epithelial Type 1, Mesothelial, Platelet/Megakaryocyte","Basal, Proximal Basal, Differentiating Basal, Proliferating Basal",B cells
1869,1869,1869,Lung,4,0.75,"IGHA2,IGHG2,IGHG4,MZB1,DERL3,TNFRSF17,IGHG3",plasma cell,plasma cell,CL:0000786,b cell,Plasma,"Plasma, Plasmacytoid Dendritic",Plasma,"Proliferating Macrophage, Myoid Dendritic Type 1, Myeloid Dendritic Type 2"
1870,1870,1870,Lung,4,0.75,"LINC01781,MS4A1,VPREB3,TNFRSF13B,CD79A,CD19,PAX5",b cell,B cell,CL:0000236,b cell,"B, Plasma","B, Plasma",B,B
1871,1871,1871,Lung,4,0.75,"C6orf58,LINC01829,LPO,PRB1,PRB3,ANO1,SLC5A1",serous cell of epithelium of bronchus,serous cell of epithelium of bronchus,CL:1000331,secretory cell,Serous,Serous,Serous,B
1872,1872,1872,Lung,4,0.75,"FGL2,MS4A6A,FCGR3A,CD163,MAFB,LST1,AIF1",non-classical monocyte,non-classical monocyte,CL:0000875,macrophage/monocyte,"Macrophage, Proliferating Macrophage, Classical Monocyte, Nonclassical Monocyte, Intermediate Monocyte, Myeloid Dendritic Type 2","Macrophage, Proliferating Macrophage, Classical Monocyte, Nonclassical Monocyte, Intermediate Monocyte",Macrophage,"Macrophage, Proliferating Macrophage, Natural Killer"
1873,1873,1873,Lung,4,0.75,"VWF,FCN3,FAM107A,LRRC32,CALCRL,CLDN5,TIMP3",capillary endothelial cell,capillary endothelial cell,CL:0002144,endothelial cell,"Vein, Capillary, Capillary Intermediate 2, Alveolar Epithelial Type 1, Platelet/Megakaryocyte","Vein, Capillary, Artery",Vein,"Vein, Capillary"
1874,1874,1874,Lung,4,0.75,"CA4,IL1RL1,SPARCL1,CLDN5,GNG11,HPGD,EMCN",capillary aerocyte,,,epithelial cell,"Alveolar Epithelial Type 1, Capillary, Capillary Aerocyte","Capillary Aerocyte, Capillary, Bronchial Vessel 1, Bronchial Vessel 2, Airway Smooth Muscle",Capillary Aerocyte,Capillary
1875,1875,1875,Lung,4,0.75,"MS4A15,MYRF,NCKAP5,UPK3B,ST6GALNAC5,ITLN2,RTKN2",type i pneumocyte,type I pneumocyte,CL:0002062,epithelial cell,"Alveolar Epithelial Type 1, Mesothelial",Alveolar Epithelial Type 1,Alveolar Epithelial Type 1,Alveolar Epithelial Type 1
1876,1876,1876,Lung,4,0.75,"LIFR,PRSS23,CLU,IGFBP7,RAMP3,C7,TIMP3",vein endothelial cell,vein endothelial cell,CL:0002543,endothelial cell,"Lymphatic, Serous, Ciliated, Proximal Ciliated, B, Vein, Bronchial Vessel 1","Alveolar Fibroblast, Vein",Lymphatic,"Fibroblast, Vascular Smooth Muscle, Alveolar Fibroblast"
1877,1877,1877,Lung,4,0.75,"ADH1B,MFAP4,LUM,PTGDS,C1S,DCN,C7",alveolar fibroblast,,,fibroblast,"Alveolar Fibroblast, Lymphatic","Adventitial Fibroblast, Alveolar Fibroblast, Vein",Alveolar Fibroblast,"Adventitial Fibroblast, Alveolar Fibroblast"
1878,1878,1878,Lung,4,0.75,"SEMA3D,CCL21,PROX1,RELN,SCN3B,HOXD9,FOXC2",endothelial cell of lymphatic vessel,endothelial cell of lymphatic vessel,CL:0002138,endothelial cell,Lymphatic,"Lymphatic, Fibromyocyte",Lymphatic,Lymphatic
1879,1879,1879,Lung,4,0.75,"ACTG2,PPP1R14A,CARMN,CNN1,DES,PLAC9,CRYAB",bronchial smooth muscle cell,bronchial smooth muscle cell,CL:0002598,muscle cell,"Airway Smooth Muscle, Vascular Smooth Muscle","Airway Smooth Muscle, Vascular Smooth Muscle, Fibromyocyte",Airway Smooth Muscle,"Airway Smooth Muscle, Vascular Smooth Muscle"
1880,1880,1880,Lung,4,0.75,"AL139020.1,SPIB,CLEC4C,AL357143.1,LILRA4,MZB1,PLD4",plasmacytoid dendritic cell,plasmacytoid dendritic cell,CL:0000784,dendritic cell,Plasmacytoid Dendritic,"Plasmacytoid Dendritic, B",Plasmacytoid Dendritic,Plasmacytoid Dendritic
1881,1881,1881,Lung,4,0.75,"ELF3,PIGR,FOLR1,NEDD4L,CEACAM6,SFTPB,WFDC2",club cell,club cell,CL:0000158,epithelial cell,Club,"Ciliated, Club, Alveolar Epithelial Type 1, Goblet, Platelet/Megakaryocyte",Club,"Signaling Alveolar Epithelial Type 2, Alveolar Epithelial Type 1, Club"
1882,1882,1882,Lung,4,0.75,"IGFBP7,SPARCL1,ACKR1,VWF,C7,CLU,NPDC1",lung microvascular endothelial cell,lung microvascular endothelial cell,CL:2000016,endothelial cell,Vein,"Ciliated, Proximal Ciliated, Basal, Alveolar Epithelial Type 1, Vein, Bronchial Vessel 1, Lymphatic, Airway Smooth Muscle, Vascular Smooth Muscle, Natural Killer, Proliferating NK/T, Bronchial Vessel 1 and 2, Airway Smooth Muscle, Fibromyocyte",Bronchial Vessel 1,"Bronchial Vessel 1, Vein"
1883,1883,1883,Lung,4,0.75,"BGN,MYH11,GJA4,PDGFRB,LMOD1,C2orf40,COX4I2",vascular associated smooth muscle cell,vascular associated smooth muscle cell,CL:0000359,muscle cell,Vascular Smooth Muscle,"Vascular Smooth Muscle, Myofibroblast, Pericyte, Airway Smooth Muscle, Vascular Smooth Muscle, Fibromyocyte, Capillary, Pericyte",Pericyte,"Fibromyocyte, Vascular Smooth Muscle, Pericyte"
1884,1884,1884,Lung,4,0.75,"GPR1,LRRC38,LINC01902,KCTD8,AC005821.1,FABP7,SYT4",myofibroblast cell,myofibroblast cell,CL:0000186,myofibroblast cell,Neuroendocrine,Neuroendocrine,Neuroendocrine,Unknown
1885,1885,1885,Lung,4,0.75,"PDGFRB,COX4I2,NDUFA4L2,INMT,HIGD1B,TPM2,BGN",pericyte cell,pericyte,CL:0000669,pericyte,Pericyte,"Pericyte, Vascular Smooth Muscle, Pericyte, Capillary Aerocyte, Alveolar Fibroblast",Pericyte,Pericyte
1886,1886,1886,Lung,4,0.75,"VIPR2,BNC1,HAS1,ITLN1,SYT4,BCHE,CPB1",mesothelial cell,mesothelial cell,CL:0000077,epithelial cell,Mesothelial,"Plasmacytoid Dendritic, Mesothelial, Adventitial Fibroblast, Lipofibroblast, Mesothelial, Neuroendocrine",Mesothelial,"Mesothelial, Adventitial Fibroblast, Lipofibroblast, Neuroendocrine"
1887,1887,1887,Lung,4,0.75,"COL1A2,ABCA6,AC009269.2,SCN7A,CACNA1C,CARMN,SGIP1",fibroblast,fibroblast,CL:0000057,fibroblast,Adventitial Fibroblast,"Myofibroblast, Adventitial Fibroblast, Lipofibroblast, Adventitial Fibroblast, Alveolar Fibroblast",Adventitial Fibroblast,"Myofibroblast, Adventitial Fibroblast, Alveolar Fibroblast"
1888,1888,1888,Lung,4,0.75,"LILRA1,CD300E,AIF1,LILRB2,FCN1,VCAN,MPEG1",intermediate monocyte,intermediate monocyte,CL:0002393,macrophage/monocyte,Classical Monocyte,"OLR1+ Classical Monocyte, Nonclassical Monocyte, Intermediate Monocyte, EREG+ Dendritic, Classical Monocyte, OLR1+ Classical Monocyte, Nonclassical Monocyte, Intermediate Monocyte",Intermediate Monocyte,"Classical Monocyte, Nonclassical Monocyte, EREG+ Dendritic"
1889,1889,1889,Lung,4,0.75,"CLNK,HEPACAM2,ASCL3,LINC01187,DGKI,CLCNKB,ATP6V1G3",pulmonary ionocyte,pulmonary ionocyte,CL:0017000,epithelial cell,Ionocyte,"Ionocyte, Ionocyte, Ionocyte",Ionocyte,"Ionocyte, Ionocyte, Ionocyte"
1890,1890,1890,Lung,4,1.0,"SCEL,GPRC5A,AGER,RTKN2,LMO7,ARHGEF26,EMP2,SPOCK2,DST,LAMA3",Alveolar Epithelial Type 1,type I pneumocyte,CL:0002062,epithelial cell,Alveolar Epithelial Type 1,Alveolar Epithelial Type 1,Alveolar Epithelial Type 1,Lung Epithelial
1891,1891,1891,Lung,4,1.0,"ADAM28,BANK1,BLK,CD79A,MS4A1,LINC00926,CD79B,SP140,VPREB3,CD22",B,B cell,CL:0000236,b cell,B,B,B,Monocyte/B
1892,1892,1892,Lung,4,1.0,"ITGA2,S100A2,KRT15,KRT5,KRT19,FHL2,CLDN1,KRT17,PERP,DST",Basal,basal cell,CL:0000646,stem cell,Basal,"Basal, Proximal Basal, Differentiating Basal, Proliferating Basal",Basal,Basal/Proximal Basal
1893,1893,1893,Lung,4,1.0,"S100A12,CD99,CSF3R,CD300E,VCAN,METTL9,FCN1,CTSS,S100A8,S100A9",CD14+ Monocyte,CD14-positive monocyte,CL:0001054,macrophage/monocyte,Classical Monocyte,"Classical Monocyte, OLR1+ Classical Monocyte",Classical Monocyte,Classical Monocyte
1894,1894,1894,Lung,4,1.0,"MALAT1,TRAT1,CD6,BCL11B,IL7R,CD2,CAMK4,ITK,MAL,LEF1",CD4 T,"CD4-positive, alpha-beta T cell",CL:0000624,t/nk cell,N/A,"CD8+ Memory/Effector T, CD8+ Naive T, CD4+ Memory/Effector T, CD4+ Naive T",CD4+ Naive T,CD8+ T Cell
1895,1895,1895,Lung,4,1.0,"ZMYND10,FANK1,SNTN,DNAH6,CDHR3,CCDC170,C20orf85,RSPH1,FAM92B,CAPS",Ciliated,ciliated cell,CL:0000064,ciliated cell,Ciliated,"Ciliated, Proximal Ciliated",Ciliated,Ciliated
1896,1896,1896,Lung,4,1.0,"MS4A6A,HLA-DPB1,CLEC10A,HLA-DMB,FCGR2B,HLA-DQA1,FPR3,GPR183,RGS1,CSF2RA",Dendritic,dendritic cell,CL:0000451,dendritic cell,Dendritic,"Myeloid Dendritic Type 1, Myeloid Dendritic Type 2, IGSF21+ Dendritic, EREG+ Dendritic, TREM2+ Dendritic",Myeloid Dendritic Type 2,Dendritic Cell
1897,1897,1897,Lung,4,1.0,"C1R,C3,C1S,LUM,CFD,SLIT2,DCN,FBLN1,ABLIM1,ADH1B",Fibroblast,fibroblast,CL:0000057,fibroblast,Adventitial Fibroblast,"Adventitial Fibroblast, Alveolar Fibroblast, Lipofibroblast",Adventitial Fibroblast,Fibroblast
1898,1898,1898,Lung,4,1.0,"PROX1,IGFBP7,PKHD1L1,TFPI,PPFIBP1,TIMP3,TFF3,TBX1,MMRN1,CCL21",Lymphatic,,,immune cell,Lymphatic,Lymphatic,Lymphatic,Lymphatic
1899,1899,1899,Lung,4,1.0,"ACP5,OLR1,ITGAX,MARCO,APOC1,VSIG4,SLCO2B1,C1QB,C1QA,GPD1",Macrophage,macrophage,CL:0000235,macrophage/monocyte,Macrophage,"Macrophage, Proliferating Macrophage, TREM2+ Dendritic, Classical Monocyte, OLR1+ Classical Monocyte",Macrophage,Macrophage
1900,1900,1900,Lung,4,1.0,"CD247,SPON2,GZMB,KLRD1,GNLY,PRF1,NKG7,KLRF1,FCGR3A,PYHIN1",Natural Killer,natural killer cell,CL:0000623,t/nk cell,Natural Killer,"CD8+ Memory/Effector T, CD8+ Naive T, Natural Killer T, Natural Killer, Proliferating NK/T",Natural Killer T,"Natural Killer T, Proliferating NK/T, CD8+ Memory/Effector T"
1901,1901,1901,Lung,4,1.0,"DERL3,PRDX4,MANF,MZB1,TNFRSF17,SEC11C,XBP1,POU2AF1,SSR4,HSP90B1",Plasma,plasma cell,CL:0000786,b cell,Plasma,"Plasma, Plasmacytoid Dendritic",Plasma,"Plasmacytoid Dendritic, Natural Killer, B, Plasma"
1902,1902,1902,Lung,4,1.0,"SFTPC,NAPSA,SFTPA2,SFTPB,SLC34A2,SFTPD,ABCA3,SFTPA1,LPCAT1,LAMP3",Alveolar Epithelial Type 2,type II pneumocyte,CL:0002063,epithelial cell,Alveolar Epithelial Type 2,"Alveolar Epithelial Type 2, Signaling Alveolar Epithelial Type 2, Platelet/Megakaryocyte",Alveolar Epithelial Type 2,"Alveolar Epithelial Type 2, Signaling Alveolar Epithelial Type 2"
1903,1903,1903,Lung,4,1.0,"CPA3,TPSAB1,HDC,VWA5A,KIT,MS4A2,CD44,HPGDS,GATA2,GRAP2",Basophil/Mast,"basophil,mast cell","CL:0000767,CL:0000097",granulocyte,Basophil/Mast,"Basophil/Mast 1, Basophil/Mast 2",Basophil/Mast,"Basophil/Mast 1, Basophil/Mast 2, Plasma"
1904,1904,1904,Lung,4,1.0,"RPS19,AIF1,LILRB2,IFITM2,FCN1,LST1,RHOC,SAT1,FCGR3A,COTL1",CD16+ Monocyte,,,macrophage/monocyte,Classical Monocyte,"Myeloid Dendritic Type 2, IGSF21+ Dendritic, EREG+ Dendritic, TREM2+ Dendritic, Classical Monocyte, OLR1+ Classical Monocyte, Nonclassical Monocyte, Intermediate Monocyte",Nonclassical Monocyte,"Classical Monocyte, Nonclassical Monocyte, Myeloid Dendritic Type 2"
1905,1905,1905,Lung,4,1.0,"CDH5,FLNB,PODXL,FCN3,EPAS1,BTNL9,NOSTRIN,CD81,RAMP3,CDC42EP1",Capillary,,,blood vessel cell,Capillary,"Capillary Aerocyte, Capillary, Capillary Intermediate 1, Capillary Intermediate 2, Vein",Goblet,"Capillary, Mesothelial, Ciliated, Vascular Smooth Muscle"
1906,1906,1906,Lung,4,1.0,"CD3G,RPL34,CD8A,GZMA,CCL5,NKG7,CD8B,RPS27,CD3D,GZMH",CD8 T,"CD8-positive, alpha-beta T cell",CL:0000625,t/nk cell,CD8+ Naive T,"CD8+ Memory/Effector T, CD8+ Naive T, CD4+ Memory/Effector T, CD4+ Naive T, Natural Killer T, Natural Killer, Proliferating NK/T",CD8+ Memory/Effector T,"CD8+ Memory/Effector T, CD8+ Naive T, Alveolar Epithelial Type 2"
1907,1907,1907,Lung,4,1.0,"CEACAM6,KIAA1324,WFDC2,SFTPB,PIGR,DSTN,CTSE,CYB5A,C16orf89,SCGB3A2",Club,club cell,CL:0000158,epithelial cell,Goblet,"Club, Goblet, Mucous, Serous, Alveolar Epithelial Type 2, Signaling Alveolar Epithelial Type 2, Platelet/Megakaryocyte",Mucous,"Club, Goblet, Signaling Alveolar Epithelial Type 2"
1908,1908,1908,Lung,4,1.0,"COL1A1,COL3A1,CALD1,LTBP1,BGN,ASPN,ITGBL1,COL6A3,POSTN,COL1A2",Myofibroblast,myofibroblast cell,CL:0000186,myofibroblast cell,Myofibroblast,"Myofibroblast, Adventitial Fibroblast, Lipofibroblast, Mesothelial, Vascular Smooth Muscle, Pericyte, Platelet/Megakaryocyte",Myofibroblast,"Myofibroblast, Adventitial Fibroblast, Mesothelial"
1909,1909,1909,Lung,4,1.0,"PTPRE,NPC2,TYROBP,PPP1R14B,IL3RA,GZMB,IRF4,IRF7,SEC61B,PLD4",Plasmacytoid Dendritic,plasmacytoid dendritic cell,CL:0000784,dendritic cell,Plasmacytoid Dendritic,"Alveolar Epithelial Type 1, Signaling Alveolar Epithelial Type 2, Lymphatic, Macrophage, Proliferating Macrophage, Plasmacytoid Dendritic, Myeloid Dendritic Type 1, Myeloid Dendritic Type 2, IGSF21+ Dendritic, EREG+ Dendritic, Classical Monocyte, Nonclassical Monocyte, Intermediate Monocyte",Plasmacytoid Dendritic,"Macrophage, Proliferating Macrophage, EREG+ Dendritic"
1910,1910,1910,Lung,4,1.0,"KPNA2,STMN1,NUSAP1,CDK1,TYMS,H2AFZ,UBE2C,TPX2,ANLN,BIRC5",Proliferating Macrophage,,,macrophage/monocyte,Proliferating NK/T,"Proliferating Basal, Proliferating NK/T, Proliferating Macrophage",Proliferating NK/T,Proliferating Basal
1911,1911,1911,Lung,4,1.0,"SMC4,H2AFV,BIRC5,AURKB,NUSAP1,UBE2C,TOP2A,KIF2C,HMGB2,CENPF",Proliferating NK/T,,,t/nk cell,Proliferating Macrophage,"Proliferating Basal, Proliferating NK/T, Proliferating Macrophage",Proliferating NK/T,Proliferating NK/T
1912,1912,1912,Lung,4,1.0,"EMCN,SPRY1,ZNF385D,ENPP2,COL15A1,SPARCL1,INHBB,PLVAP,POSTN,VWF",Bronchial Vessel,,,bronchial cell,Pericyte,"Capillary Aerocyte, Bronchial Vessel 1, Fibromyocyte","Bronchial Vessel 1, Fibromyocyte",Proliferating Macrophage
1913,1913,1913,Lung,4,1.0,"SCGB1A1,SLPI,MSMB,WFDC2,MUC5B,SAA1,BPIFB1,RARRES1,LCN2,SCGB3A1",Mucous,,,mucosal cell,"Goblet, Mucous","Mucous, Goblet","Mucous, Goblet","Alveolar Epithelial Type 2, Goblet"
1914,1914,1914,Lung,4,1.0,"CPE,PLA1A,TGM2,SRPX,PTPRB,VWF,LIFR,PRSS23,SELP,SLCO2A1",Vein,,,blood vessel cell,Macrophage,"Vein, Vascular Smooth Muscle, Airway Smooth Muscle, Adventitial Fibroblast, Macrophage, Proliferating Macrophage","Vein, Artery",Capillary
1915,1915,1915,Lung,4,1.0,"COX4I2,LAMC3,NID1,CHN1,TACC1,COL4A2,PDGFRB,LAMB1,COL4A1,CALD1",Pericyte,pericyte,CL:0000669,pericyte,Pericyte,"Vascular Smooth Muscle, Pericyte",Pericyte,"Vascular Smooth Muscle, Airway Smooth Muscle"
1916,1916,1916,Lung,4,1.0,"CSRP1,DES,ACTA2,TPM2,MYL9,PLN,CALD1,MYH11,DSTN,CNN1",Smooth Muscle,smooth muscle cell,CL:0000192,muscle cell,"Airway Smooth Muscle, Vascular Smooth Muscle","Vascular Smooth Muscle, Airway Smooth Muscle, Fibromyocyte, Basal","Airway Smooth Muscle, Vascular Smooth Muscle","Basal, Fibromyocyte"
1917,1917,1917,Lung,4,1.0,"BMX,EPAS1,ARGLU1,HEY1,DKK2,SEMA3G,FBLN5,EFNB2,GJA5,PTPRB",Artery,,,blood vessel cell,Artery,"Artery, Proximal Basal, Differentiating Basal, Proliferating Basal",Artery,"Natural Killer, Alveolar Epithelial Type 1"
1918,1918,1918,Lung,4,1.0,"HPGD,APP,CLDN5,ESAM,SOSTDC1,EDNRB,EMCN,CYP3A5,TBX2,STXBP6",Capillary Aerocyte,,,epithelial cell,Capillary,"Capillary Aerocyte, Capillary Intermediate 1, Capillary, Platelet/Megakaryocyte","Capillary Intermediate 1, Capillary Aerocyte","Capillary Aerocyte, Neuroendocrine"
1919,1919,1919,Lung,4,1.0,"RALA,EPAS1,SH3BP5,PECAM1,SRSF11,ACVRL1,IPO7,WWTR1,VAT1,GALNT18",Capillary Intermediate,,,blood vessel cell,"Natural Killer, Capillary","Alveolar Epithelial Type 1, Natural Killer, Proliferating NK/T, Platelet/Megakaryocyte, Macrophage, Proliferating Macrophage, Classical Monocyte, Nonclassical Monocyte",Natural Killer,"Alveolar Epithelial Type 1, Proximal Basal, Airway Smooth Muscle"
1920,1920,1920,Lung,4,1.0,"OSR1,STEAP1,MEDAG,WT1,CPXM1,C3,FGF7,CCDC71L,HAS1,C7",Lipofibroblast,alveolar type 1 fibroblast cell,CL:4028004,fibroblast,Mesothelial,"Mesothelial, Adventitial Fibroblast, Lipofibroblast",Mesothelial,"Adventitial Fibroblast, Lipofibroblast, Mesothelial, Macrophage, Myofibroblast, Basement Membrane"
